IRI	Direct	Inherited
http://purl.obolibrary.org/obo/HANCESTRO_0011	0	0
http://purl.obolibrary.org/obo/AfPO_0000190	0	0
http://purl.obolibrary.org/obo/AfPO_0000358	0	0
http://purl.obolibrary.org/obo/AfPO_0000264	0	0
http://purl.obolibrary.org/obo/AfPO_0000200	0	0
http://purl.obolibrary.org/obo/AfPO_0000276	0	0
http://purl.obolibrary.org/obo/AfPO_0000203	0	0
http://purl.obolibrary.org/obo/AfPO_0000307	0	0
http://purl.obolibrary.org/obo/AfPO_0000270	0	0
http://purl.obolibrary.org/obo/AfPO_0000207	0	0
http://purl.obolibrary.org/obo/AfPO_0000395	0	0
http://purl.obolibrary.org/obo/AfPO_0000385	0	0
http://purl.obolibrary.org/obo/AfPO_0000271	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0010	0	0
http://purl.obolibrary.org/obo/AfPO_0000331	0	0
http://purl.obolibrary.org/obo/AfPO_0000350	0	0
http://purl.obolibrary.org/obo/HANCESTRO_0602	0	0
http://purl.obolibrary.org/obo/AfPO_0000355	0	0
http://purl.obolibrary.org/obo/AfPO_0000402	0	0
http://www.ebi.ac.uk/efo/EFO_0001941	0	29
http://www.ebi.ac.uk/efo/EFO_0000324	2	14
http://purl.obolibrary.org/obo/OBI_0600044	0	0
http://purl.obolibrary.org/obo/MONDO_0007243	0	0
http://www.ebi.ac.uk/efo/EFO_0002937	0	57
http://purl.obolibrary.org/obo/COB_0000022	0	111
http://www.ebi.ac.uk/efo/EFO_0000523	1	11
http://www.ebi.ac.uk/efo/EFO_0000788	0	0
http://www.ebi.ac.uk/efo/EFO_0007589	0	0
http://www.ebi.ac.uk/efo/EFO_0001639	0	259
http://purl.obolibrary.org/obo/MONDO_0009807	2	0
http://www.ebi.ac.uk/efo/EFO_0005934	0	0
http://purl.obolibrary.org/obo/MONDO_0004992	70	1829
http://purl.obolibrary.org/obo/MONDO_0005059	1	318
http://purl.obolibrary.org/obo/MONDO_0005401	0	61
http://purl.obolibrary.org/obo/MONDO_0005105	36	20
http://purl.obolibrary.org/obo/MONDO_0008315	80	3
http://www.ebi.ac.uk/efo/EFO_0002887	0	25
http://www.ebi.ac.uk/efo/EFO_0000399	6	98
http://purl.obolibrary.org/obo/MONDO_0005159	0	3
http://purl.obolibrary.org/obo/MONDO_0005062	6	425
http://purl.obolibrary.org/obo/MONDO_0005575	131	60
http://www.ebi.ac.uk/efo/EFO_0002958	0	0
http://www.ebi.ac.uk/efo/EFO_0002694	6	604
http://www.ebi.ac.uk/efo/EFO_0002888	0	285
http://www.ebi.ac.uk/efo/EFO_0002796	0	0
http://purl.obolibrary.org/obo/MONDO_0002974	29	12
http://www.ebi.ac.uk/efo/EFO_0002884	0	19
http://www.ebi.ac.uk/efo/EFO_0002936	0	4
http://purl.obolibrary.org/obo/MONDO_0004953	0	0
http://www.ebi.ac.uk/efo/EFO_0001641	0	69
http://www.ebi.ac.uk/efo/EFO_0001640	49	44
http://www.ebi.ac.uk/efo/EFO_0002922	0	16
http://www.ebi.ac.uk/efo/EFO_0002956	0	0
http://www.ebi.ac.uk/efo/EFO_0001899	0	4
http://www.ebi.ac.uk/efo/EFO_0004416	0	0
http://www.ebi.ac.uk/efo/EFO_0001824	0	0
http://www.ebi.ac.uk/efo/EFO_0003836	22	80
http://www.ebi.ac.uk/efo/EFO_0004417	206	0
http://www.ebi.ac.uk/efo/EFO_0004446	0	778
http://www.ebi.ac.uk/efo/EFO_0004364	26	10
http://www.ebi.ac.uk/efo/EFO_0004415	0	0
http://www.ebi.ac.uk/efo/EFO_0004457	0	0
http://www.ebi.ac.uk/efo/EFO_0004365	9	2
http://www.ebi.ac.uk/efo/EFO_0004366	2	0
http://purl.obolibrary.org/obo/SO_0001217	0	0
http://purl.obolibrary.org/obo/PR_000018263	0	741
http://purl.obolibrary.org/obo/PR_000064867	0	741
http://www.ebi.ac.uk/efo/EFO_0004367	0	0
http://www.ebi.ac.uk/efo/EFO_0004923	0	0
http://www.ebi.ac.uk/efo/EFO_0002009	0	30
http://purl.obolibrary.org/obo/MONDO_0005180	87	6
http://www.ebi.ac.uk/efo/EFO_0000988	0	0
http://www.ebi.ac.uk/efo/EFO_0002966	2	0
http://www.ebi.ac.uk/efo/EFO_0000949	2	0
http://www.ebi.ac.uk/efo/EFO_0003861	0	0
http://www.ebi.ac.uk/efo/EFO_0002962	0	0
http://www.ebi.ac.uk/efo/EFO_0001404	0	0
http://www.ebi.ac.uk/efo/EFO_0002534	1	0
http://purl.obolibrary.org/obo/PO_0020019	0	0
http://purl.obolibrary.org/obo/PO_0020048	0	0
http://purl.obolibrary.org/obo/PO_0000293	0	0
http://www.ebi.ac.uk/efo/EFO_0000795	0	3
http://www.ebi.ac.uk/efo/EFO_0002955	0	0
http://www.ebi.ac.uk/efo/EFO_0000998	0	0
http://purl.obolibrary.org/obo/MONDO_0005070	15	3224
http://www.ebi.ac.uk/efo/EFO_0002963	0	0
http://www.ebi.ac.uk/efo/EFO_0000586	0	0
http://www.ebi.ac.uk/efo/EFO_0001955	2	0
http://purl.obolibrary.org/obo/COB_0000026	0	0
http://purl.obolibrary.org/obo/DOID_0050890	0	0
http://purl.obolibrary.org/obo/DOID_10113	0	0
http://purl.obolibrary.org/obo/DOID_10718	0	0
http://purl.obolibrary.org/obo/DOID_13406	0	0
http://purl.obolibrary.org/obo/DOID_1947	0	0
http://purl.obolibrary.org/obo/DOID_7551	0	0
http://purl.obolibrary.org/obo/ECTO_0000001	0	0
http://www.ebi.ac.uk/efo/EFO_0000487	8	0
http://purl.obolibrary.org/obo/ECTO_0000006	0	0
http://purl.obolibrary.org/obo/ECTO_0000530	0	0
http://purl.obolibrary.org/obo/ECTO_0000724	0	0
http://purl.obolibrary.org/obo/ECTO_0000726	0	0
http://purl.obolibrary.org/obo/ECTO_0070164	0	0
http://purl.obolibrary.org/obo/ECTO_1000034	0	0
http://purl.obolibrary.org/obo/ECTO_6000029	0	0
http://purl.obolibrary.org/obo/ECTO_8000036	0	0
http://purl.obolibrary.org/obo/ECTO_9000026	0	0
http://purl.obolibrary.org/obo/ECTO_9000033	0	0
http://purl.obolibrary.org/obo/ECTO_9000057	0	0
http://purl.obolibrary.org/obo/ECTO_9000078	0	0
http://purl.obolibrary.org/obo/ECTO_9000097	0	0
http://www.ebi.ac.uk/efo/EFO_0000727	49	729
http://purl.obolibrary.org/obo/FBbi_00000240	0	0
http://purl.obolibrary.org/obo/FBbi_00000265	0	0
http://purl.obolibrary.org/obo/FBbi_00000241	0	0
http://purl.obolibrary.org/obo/FBbi_00000243	0	0
http://purl.obolibrary.org/obo/FBbi_00000345	0	0
http://purl.obolibrary.org/obo/FBbi_00000244	0	0
http://purl.obolibrary.org/obo/FBbi_00000245	0	0
http://purl.obolibrary.org/obo/FBbi_00000246	0	0
http://purl.obolibrary.org/obo/FBbi_00000247	0	0
http://purl.obolibrary.org/obo/FBbi_00000248	0	0
